epoch	time	lr	loss	val_loss
1	420.8329995999999	0.01	4.113652902254177e+25	8.565839825041932e+24
2	368.33056650000003	0.01	3.7017747600086515e+25	3.061733550580751e+24
3	392.6654334	0.01	3.778020542176589e+25	3.8205187057806475e+24
4	403.48049519999995	0.01	3.6655432907239876e+25	5.650225884640543e+24
5	377.7145295	0.01	3.724955671947514e+25	6.401692990766055e+24
6	365.9528164000003	0.01	3.7374358412313035e+25	1.1061240809345077e+25
7	365.5847047999996	0.01	3.8520457359100996e+25	1.3372345204302746e+25
8	365.61998760000006	0.01	3.7899755001283316e+25	1.310683100745688e+25
9	365.59469899999976	0.01	3.7452519698665462e+25	2.442011397396389e+24
10	365.76678960000027	0.01	3.93774909825997e+25	2.3943352977884954e+24
11	365.70492730000024	0.01	3.7579905390087946e+25	2.4318516246670486e+24
12	365.28777790000004	0.01	3.5419195401268e+25	2.446465717897554e+24
13	365.5401926000004	0.01	3.8925355158624745e+25	3.277251900337734e+24
14	365.38972450000074	0.01	3.847505825334614e+25	3.0406931872912217e+24
15	365.36952890000066	0.01	3.880994217843178e+25	7.660892595002465e+24
16	365.4856351999997	0.01	3.954012336059265e+25	2.8022443117385484e+24
17	365.34366560000035	0.01	3.925153084121938e+25	8.115646073552782e+24
18	367.34498599999915	0.01	4.158131087458879e+25	7.779936860816709e+24
19	366.6640004000001	0.01	4.085627161426236e+25	6.211678737569349e+24
20	365.9535799999994	0.01	3.931596367735742e+25	5.352008250003874e+24
21	366.1159979999993	0.01	3.98995550926542e+25	1.1636868415498424e+25
22	365.9036777000001	0.01	3.8570284229086012e+25	1.334642070402997e+25
23	365.20474640000066	0.01	4.29496462193441e+25	1.3785396019155755e+25
24	365.4973855999997	0.01	4.3819520508571625e+25	1.431308772726155e+25
25	365.53641210000023	0.01	3.996549711589228e+25	1.3773374994253793e+25
26	365.61001810000016	0.01	4.167958027709457e+25	1.475571098063054e+25
27	365.53584279999995	0.01	4.154593489671866e+25	1.543849480553945e+25
28	365.52175179999904	0.01	4.294030375008747e+25	1.86520130903103e+25
29	365.76259310000023	0.01	4.152644020136481e+25	1.807749922017469e+25
30	366.107512999999	0.01	4.320370821443094e+25	1.7551004633768986e+25
